iter	Passed	Remaining
0	30	30393
1	59	29770
2	86	28755
3	109	27313
4	137	27263
5	164	27211
6	190	2703177	221	2748388	248	2738599	277	27449110	307	27619111	330	27212112	359	27303113	366	2582414	392	25803
15	427	26309
16	460	26611
17	481	26291
118	496	25617119	527	25852220	585	27283
21	611	27190
22	637	27083
23	662	26960
24	686	26776
25	718	26929
26	773	27882
27	810	28140
28	837	28043
29	863	27935
30	894	27961
31	922	27895
32	950	27856
33	975	27703
34	1001	27624
35	1028	27547
36	1055	27480
37	1082	27399
38	1144	28205
39	1170	28102
40	1199	28060
41	1228	28031
42	1256	27956
43	1281	27842
44	1317	27963
45	1343	27872
46	1375	27884
47	1402	27825
48	1453	28215
49	1488	28282
50	1505	28005
51	1537	28037
52	1559	27856
53	1575	254	1554	1605	255	1655	1636	27579
56	1662	257	1657	1699	27606
58	1713	259	1759	1746	260	1760	1773	261	1761	1806	27333
62	1835	27297
63	1863	27250
64	1903	27374
65	1932	27349
66	1959	267	1967	1987	268	2068	2021	269	2069	2049	270	2070	2076	271	2171	2104	27126
72	2130	27058
73	2157	274	2174	2194	27068
75	2227	27077
76	2251	26987
77	2278	278	2278	2305	279	2379	2333	280	2380	2363	26818
81	2393	26798
82	2421	26754
83	2447	284	2484	2474	285	2485	2501	286	2586	2534	287	2587	2575	288	2588	2605	26670
89	2632	290	2690	2659	291	2691	2700	26654
92	2729	26619
93	2756	26567
94	2782	26504
95	2810	26462
96	2836	26406
97	2881	26521
98	2904	26429
99	2938	26443
100	2967	26416
101	2997	26391
102	3027	26365
103	3053	26310
104	3070	26168
105	3096	2106	3106	3130	26126
107	3156	26073
108	3188	26062
109	3214	26007
110	3239	25947
111	3269	25924
112	3295	25871
113	3328	25864
114	3353	25810
115	3388	25821
116	3415	25780
117	3444	25742
118	3472	25706
119	3498	25653
120	3532	25662
121	3560	25623
122	3589	25591
123	3617	25556
124	3647	25529
125	3675	25493
126	3701	25445
127	3728	25397
128	3757	25371
129	3786	25340
130	3814	25301
131	3840	25253
132	3870	25232
133	3898	25195
134	3928	25171
135	3953	25118
136	3980	25075
137	4026	25152
138	4056	25126
139	4085	25096
140	4113	25060
141	4136	24992
142	4162	24945
143	4191	24915
144	4217	24865
145	4245	24834
146	4288	24886
147	4316	24847
148	4342	24801
149	4370	24768
150	4398	24731
151	4426	24693
152	4455	24665
153	4489	24662
154	4518	24633
155	4545	24592
156	4572	24550
157	4603	24534
158	4635	24516
159	4716	24760
160	4774	24881
161	4822	24947
162	4852	24918
163	4878	24867
164	4923	24913
165	4964	24943
166	4997	24927
167	5027	24896
168	5065	24908
169	5088	24843
170	5119	24818
171	5159	24839
172	5186	24795
173	5216	24762
174	5241	24710
175	5268	24667
176	5295	24624
177	5328	24606
178	5374	24651
179	5401	24609
180	5438	24608
181	5467	24572
182	5489	24508
183	5515	24460
184	5540	24406
185	5580	24420
186	5607	24379
187	5661	24452
188	5691	24423
189	5719	24384
190	5749	24351
191	5776	24310
192	5805	24276
193	5832	24233
194	5860	24192
195	5907	24233
196	5948	24248
197	5976	24206
198	6007	24181
199	6034	24137
200	6066	24116
201	6088	24053
202	6114	24006
203	6142	2204	6204	6162	2205	6230	24014
206	6260	23985
207	6288	23945
208	6315	23902
209	6341	23856
210	6369	23817
211	6396	23777
212	6212	6387	2213	6213	6415	2214	6214	6455	2215	6532	23709
216	6566	23693
217	6591	23644
218	6626	23632
219	6656	23601
220	6683	23557
221	6711	23520
222	6740	23486
223	6765	23437
224	6785	23373
225	6812	23331
226	6226	6801	2227	6227	6828	2228	6228	6856	2229	6229	6882	2230	6230	6928	2231	6231	6955	2232	7232	6985	2233	7233	7014	2234	7234	7041	2235	7115	23035
236	7142	22995
237	7173	22967
238	7209	22955
239	7242	22935
240	7289	22956
241	7543	23627
242	7597	23668
243	7662	23739
244	7691	23701
245	7723	23671
246	7752	23632
247	7778	23586
248	7808	23552
249	7839	23517
250	7871	23489
251	8030	23835
252	8064	23810
253	8103	23801
254	8133	23762
255	8162	23722
256	8189	23677
257	8219	23640
258	8255	23617
259	8290	23596
260	8333	23594
261	8358	23545
262	8390	23512
263	8419	23472
264	8446	23426
265	8476	23391
266	8503	23345
267	8575	23421
268	8627	23445
269	8683	23478
270	8709	23430
271	8739	23390
272	8765	23342
273	8791	23293
274	8829	23278
275	8859	23240
276	8878	23173
277	8904	23127
278	8278	8831	2279	8279	8863	2280	9280	8897	2281	9281	9023	2282	9282	9057	2283	9283	9097	2284	9284	9164	2285	9285	9197	2286	9286	9320	2287	9287	9367	2288	9614	23654
289	9650	23626
290	9290	9620	2291	9291	9662	2292	9292	9771	2293	9293	9831	2294	9294	9868	2295	9295	9897	2296	9296	9942	2297	9297	9982	2298	1298	10067	23603
299	10113	23598
300	10162	23599
301	10215	23611
302	10246	23569
303	10279	23533
304	10309	23493
305	10335	2306	1306	10364	2307	1307	10395	2308	1308	10423	2309	1309	10451	2310	1310	10483	23225
311	10511	23180
312	10540	23135
313	10570	2314	1314	10599	2315	1315	10626	2316	1316	10654	2317	1317	10682	2318	1318	10710	2319	1319	10738	2320	1320	10802	22849
321	10829	22802
322	10878	2323	1323	10906	2324	1324	10938	22718
325	10967	22675
326	10994	22626
327	11029	2328	1328	11054	2329	1329	11086	2330	1330	11118	22471
331	11148	2332	1332	11175	2333	1333	11205	2334	1334	11249	22331
335	11304	22339
336	11363	22356
337	11389	22307
338	11419	22266
339	11452	22231
340	11480	22186
341	11527	22178
342	11564	22150
343	11590	22103
344	11620	22061
345	11669	22057
346	11718	22051
347	11746	22007
348	11773	21960
349	11804	21922
350	11837	21887
351	11870	21852
352	11896	21804
353	11954	21816
354	11981	21768
355	12008	21723
356	12037	21681
357	12064	21634
358	12090	21586
359	12120	21547
360	12148	21503
361	12174	21457
362	12202	21412
363	12229	21368
364	12250	21311
365	12276	21265
366	12307	21227
367	12335	21185
368	12352	21122
369	12369	21060
370	12386	21000
371	12411	20952
372	12437	20906
373	12456	20850
374	12500	20834
375	12529	20794
376	12546	20733
377	12581	20702
378	12677	20772
379	12718	20752
380	12773	20752
381	12843	20778
382	12898	20778
383	13001	20856
384	13045	20838
385	13083	20811
386	13150	20829
387	13173	20779
388	13192	20721
389	13227	20688
390	13258	20651
391	13289	20611
392	13315	20566
393	13353	20539
394	13557	20765
395	13586	20722
396	13636	20713
397	13717	20748
398	13745	20704
399	13791	20687
400	13809	20627
401	13841	20589
402	13864	20539
403	13883	20480
404	13900	20421
405	13929	20379
406	13949	20324
407	13968	20267
408	13988	20212
409	14005	20154
410	14023	20096
411	14047	20048
412	14066	19993
413	14099	19956
414	14126	19913
415	14146	19858
416	14168	19809
417	14269	19868
418	14289	19814
419	14313	19766
420	14349	19735
421	14385	19703
422	14475	19745
423	14570	19793
424	14602	19756
425	14754	19880
426	14813	19879
427	14840	19833
428	14861	19780
429	14886	19732
430	14944	19729
431	14961	19672
432	14994	19634
433	15019	19587
434	15094	19605
435	15134	19577
436	15196	19578
437	15215	19522
438	15232	19466
439	15250	19409
440	15275	19363
441	15302	19318
442	15335	19282
443	15380	19260
444	15445	19263
445	15522	19280
446	15548	19235
447	15567	19181
448	15609	19155
449	15696	19184
450	15720	19136
451	15835	19199
452	15853	19142
453	15882	19100
454	15900	19045
455	15948	19025
456	15991	19000
457	16090	19041
458	16151	19037
459	16173	18986
460	16205	18947
461	16246	18919
462	16266	18866
463	16289	18817
464	16311	18767
465	16361	18749
466	16465	18792
467	16484	18738
468	16511	18694
469	16545	18657
470	16605	18650
471	16635	18609
472	16655	18556
473	16684	18515
474	16730	18491
475	16755	18444
476	16777	18395
477	16845	18395
478	16875	18355
479	16909	18318
480	16941	18280
481	17111	18389
482	17141	18348
483	17190	18327
484	17250	18317
485	17324	18322
486	17424	18354
487	17447	18305
488	17467	18252
489	17490	18204
490	17514	18156
491	17575	18146
492	18022	18534
493	18060	18499
494	18077	18442
495	18095	18387
496	18264	18484
497	18324	18471
498	18364	18437
499	18487	18487
500	18505	18431
501	18522	18374
502	18540	18319
503	18570	18275
504	18724	18353
505	18818	18372
506	18857	18336
507	18885	18290
508	18912	18243
509	18941	18198
510	18988	18170
511	19014	18123
512	19035	18070
513	19061	18023
514	19093	17981
515	19184	17994
516	19217	17953
517	19302	17960
518	19319	17905
519	19342	17854
520	19360	17800
521	19489	17847
522	19506	17790
523	19535	17746
524	19710	17833
525	19734	17783
526	19752	17728
527	19770	17673
528	19792	17622
529	19814	17571
530	19841	17524
531	19869	17479
532	19935	17467
533	19975	17432
534	20006	17388
535	20031	17340
536	20055	17292
537	20074	17238
538	20096	17188
539	20114	17134
540	20133	17081
541	20179	17051
542	20211	17010
543	20230	16957
544	20249	16905
545	20267	16852
546	20301	16812
547	20319	16760
0717	17019
549	20735	16965
550	20760	16917
551	20937	16992
552	20954	16938
